episode,scenario,steps,decisions,avg_reward,avg_queue,throughput
320,low_traffic,3605,107,-0.23,0.373,912
321,low_traffic,3638,114,-0.249,0.333,990
322,normal,3613,103,-0.052,0.371,889
323,low_traffic,3618,106,-0.262,0.385,945
324,normal,3626,106,-0.075,0.363,987
325,low_traffic,3614,99,-0.086,0.45,995
326,low_traffic,3600,97,0.121,0.404,966
327,peak_hour,3625,114,-0.267,0.351,999
328,low_traffic,3649,109,-0.212,0.378,991
329,normal,3605,110,-0.095,0.338,991
330,normal,3664,108,-0.315,0.388,991
331,normal,3638,104,0.062,0.389,989
332,normal,3629,115,-0.504,0.396,962
333,peak_hour,3617,98,0.153,0.41,958
334,normal,3607,100,-0.104,0.421,1031
335,low_traffic,3604,99,-0.132,0.47,1032
336,normal,3606,111,-0.486,0.412,1045
337,low_traffic,3644,113,-0.494,0.36,942
338,low_traffic,3604,110,-0.469,0.386,879
339,normal,3601,97,-0.138,0.473,925
340,low_traffic,3621,107,-0.57,0.465,914
341,low_traffic,3600,114,-0.303,0.392,923
342,low_traffic,3635,99,-0.277,0.482,930
343,normal,3628,118,-0.337,0.372,859
344,low_traffic,3610,106,-0.145,0.365,894
345,low_traffic,3654,111,-0.097,0.346,873
346,normal,3640,102,-0.256,0.416,939
347,low_traffic,3606,104,-0.062,0.336,1048
348,peak_hour,3622,98,-0.177,0.401,953
349,peak_hour,3615,103,-0.223,0.396,912
350,low_traffic,3609,123,-0.309,0.342,902
351,normal,3651,101,0.075,0.379,872
352,low_traffic,3609,113,-0.47,0.341,911
353,normal,3602,92,0.068,0.415,943
354,low_traffic,3635,102,-0.352,0.39,916
355,normal,3654,113,-0.488,0.361,962
356,normal,3660,110,-0.152,0.362,968
357,peak_hour,3613,106,-0.13,0.391,988
358,low_traffic,3639,120,-0.246,0.332,855
359,normal,3606,98,-0.018,0.376,982
360,peak_hour,3600,111,-0.259,0.355,930
361,normal,3658,108,0.007,0.446,1008
362,low_traffic,3652,101,-0.065,0.367,875
363,low_traffic,3603,92,0.028,0.382,985
364,low_traffic,3636,99,-0.071,0.405,1020
365,normal,3620,110,-0.237,0.315,961
366,low_traffic,3640,111,-0.324,0.394,850
367,low_traffic,3632,103,-0.074,0.388,880
368,low_traffic,3640,106,-0.288,0.362,935
369,low_traffic,3653,114,-0.087,0.336,896
370,normal,3624,93,0.092,0.476,904
371,peak_hour,3637,129,-0.476,0.362,896
372,low_traffic,3647,100,0.03,0.366,1013
373,peak_hour,3607,117,-0.338,0.357,806
