step,chosen_phase,time_pct,actual_seconds,north_count,north_wait_norm,north_ev,south_count,south_wait_norm,south_ev,cityhall_count,cityhall_wait_norm,cityhall_ev,brudger_count,brudger_wait_norm,brudger_ev,estanislao_count,estanislao_wait_norm,estanislao_ev,ped_exists,ped_wait_norm,weather,day_norm,time_of_day
2183,0,0.202,20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.593,0.000,0.000,0.000,-1.000,0.000,0.025
2204,0,0.231,21,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.007,0.000,5.000,0.642,0.000,0.000,0.000,-1.000,0.000,0.025
2241,3,0.284,24,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.059,0.000,5.000,0.694,0.000,0.000,0.000,-1.000,0.000,0.025
2280,1,0.326,26,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.078,0.000,1.000,0.150,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.026
2328,4,0.516,35,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.174,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.026
2362,1,0.224,21,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.027
2384,1,0.252,22,1.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.027
2411,1,0.356,27,1.000,0.069,0.000,0.000,0.000,0.000,1.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.027
2425,1,0.365,28,1.000,0.135,0.000,0.000,0.000,0.000,1.000,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.028
2431,1,1.000,60,1.000,0.169,0.000,0.000,0.000,0.000,1.000,0.103,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.028
2484,4,0.604,40,1.000,0.184,0.000,0.000,0.000,0.000,2.000,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.028
2520,1,0.265,23,1.000,0.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.029
2556,0,0.271,23,1.000,0.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.071,0.000,1.000,0.088,-1.000,0.000,0.029
2579,0,0.280,23,1.000,0.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.159,0.000,1.000,0.176,-1.000,0.000,0.029
2603,0,0.286,24,1.000,0.547,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.216,0.000,1.000,0.233,-1.000,0.000,0.030
2627,0,0.294,24,1.000,0.605,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.275,0.000,1.000,0.292,-1.000,0.000,0.030
2652,0,0.301,25,1.000,0.664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.333,0.000,1.000,0.350,-1.000,0.000,0.030
2681,0,0.386,29,2.000,0.725,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.395,0.000,1.000,0.412,-1.000,0.000,0.031
2710,0,0.399,29,2.000,0.797,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.466,0.000,1.000,0.483,-1.000,0.000,0.031
2763,2,0.609,40,2.000,0.868,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,0.537,0.000,1.000,0.554,-1.000,0.000,0.031
2803,3,0.342,27,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.113,0.000,0.000,0.000,0.000,2.000,0.667,0.000,1.000,0.684,-1.000,0.000,0.032
2844,1,0.362,28,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.211,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.782,-1.000,0.000,0.032
2872,1,0.371,28,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.882,-1.000,0.000,0.033
2900,1,0.377,28,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.951,-1.000,0.000,0.033
2929,1,0.385,29,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.449,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.020,-1.000,0.000,0.033
